"Diagnoses_Count","Year","Cancer_Type","AgeGroup","Sex"
5,2012,"Colorectal cancer",2,2
6,2012,"Colorectal cancer",3,2
13,2012,"Colorectal cancer",5,2
4,2012,"Colorectal cancer",6,2
27,2012,"Colorectal cancer",7,2
27,2012,"Colorectal cancer",9,2
24,2012,"Colorectal cancer",10,2
56,2012,"Colorectal cancer",11,2
57,2012,"Colorectal cancer",12,2
96,2012,"Colorectal cancer",13,2
114,2012,"Colorectal cancer",14,2
115,2012,"Colorectal cancer",15,2
120,2012,"Colorectal cancer",16,2
119,2012,"Colorectal cancer",17,2
126,2012,"Colorectal cancer",18,2
15,2013,"Colorectal cancer",4,1
9,2013,"Colorectal cancer",6,1
5,2013,"Colorectal cancer",8,1
26,2013,"Colorectal cancer",9,1
36,2013,"Colorectal cancer",10,1
68,2013,"Colorectal cancer",11,1
71,2013,"Colorectal cancer",12,1
107,2013,"Colorectal cancer",13,1
149,2013,"Colorectal cancer",14,1
177,2013,"Colorectal cancer",15,1
140,2013,"Colorectal cancer",16,1
138,2013,"Colorectal cancer",17,1
98,2013,"Colorectal cancer",18,1
24,2013,"Colorectal cancer",5,2
15,2013,"Colorectal cancer",6,2
27,2013,"Colorectal cancer",7,2
27,2013,"Colorectal cancer",8,2
34,2013,"Colorectal cancer",9,2
42,2013,"Colorectal cancer",10,2
52,2013,"Colorectal cancer",11,2
73,2013,"Colorectal cancer",12,2
89,2013,"Colorectal cancer",13,2
105,2013,"Colorectal cancer",14,2
119,2013,"Colorectal cancer",15,2
125,2013,"Colorectal cancer",16,2
113,2013,"Colorectal cancer",17,2
130,2013,"Colorectal cancer",18,2
13,2014,"Colorectal cancer",1,1
20,2014,"Colorectal cancer",3,1
31,2014,"Colorectal cancer",8,1
6,2014,"Colorectal cancer",9,1
42,2014,"Colorectal cancer",10,1
80,2014,"Colorectal cancer",11,1
71,2014,"Colorectal cancer",12,1
149,2014,"Colorectal cancer",13,1
184,2014,"Colorectal cancer",14,1
165,2014,"Colorectal cancer",15,1
164,2014,"Colorectal cancer",16,1
125,2014,"Colorectal cancer",17,1
119,2014,"Colorectal cancer",18,1
13,2014,"Colorectal cancer",3,2
23,2014,"Colorectal cancer",5,2
8,2014,"Colorectal cancer",7,2
29,2014,"Colorectal cancer",8,2
8,2014,"Colorectal cancer",9,2
33,2014,"Colorectal cancer",10,2
53,2014,"Colorectal cancer",11,2
70,2014,"Colorectal cancer",12,2
94,2014,"Colorectal cancer",13,2
132,2014,"Colorectal cancer",14,2
125,2014,"Colorectal cancer",15,2
150,2014,"Colorectal cancer",16,2
130,2014,"Colorectal cancer",17,2
118,2014,"Colorectal cancer",18,2
2,2015,"Colorectal cancer",1,1
20,2015,"Colorectal cancer",4,1
14,2015,"Colorectal cancer",6,1
1,2015,"Colorectal cancer",7,1
6,2015,"Colorectal cancer",8,1
12,2015,"Colorectal cancer",9,1
21,2015,"Colorectal cancer",10,1
66,2015,"Colorectal cancer",11,1
106,2015,"Colorectal cancer",12,1
103,2015,"Colorectal cancer",13,1
172,2015,"Colorectal cancer",14,1
208,2015,"Colorectal cancer",15,1
159,2015,"Colorectal cancer",16,1
141,2015,"Colorectal cancer",17,1
101,2015,"Colorectal cancer",18,1
1,2015,"Colorectal cancer",2,2
22,2015,"Colorectal cancer",4,2
3,2015,"Colorectal cancer",5,2
4,2015,"Colorectal cancer",6,2
15,2015,"Colorectal cancer",8,2
29,2015,"Colorectal cancer",9,2
29,2015,"Colorectal cancer",10,2
74,2015,"Colorectal cancer",11,2
99,2015,"Colorectal cancer",12,2
97,2015,"Colorectal cancer",13,2
101,2015,"Colorectal cancer",14,2
153,2015,"Colorectal cancer",15,2
145,2015,"Colorectal cancer",16,2
110,2015,"Colorectal cancer",17,2
149,2015,"Colorectal cancer",18,2
12,2016,"Colorectal cancer",4,1
6,2016,"Colorectal cancer",6,1
19,2016,"Colorectal cancer",7,1
34,2016,"Colorectal cancer",8,1
38,2016,"Colorectal cancer",9,1
63,2016,"Colorectal cancer",10,1
90,2016,"Colorectal cancer",11,1
96,2016,"Colorectal cancer",12,1
136,2016,"Colorectal cancer",13,1
186,2016,"Colorectal cancer",14,1
190,2016,"Colorectal cancer",15,1
180,2016,"Colorectal cancer",16,1
126,2016,"Colorectal cancer",17,1
114,2016,"Colorectal cancer",18,1
6,2016,"Colorectal cancer",1,2
13,2016,"Colorectal cancer",3,2
1,2016,"Colorectal cancer",4,2
16,2016,"Colorectal cancer",5,2
1,2016,"Colorectal cancer",6,2
10,2016,"Colorectal cancer",7,2
11,2016,"Colorectal cancer",9,2
57,2016,"Colorectal cancer",10,2
33,2016,"Colorectal cancer",11,2
46,2016,"Colorectal cancer",12,2
71,2016,"Colorectal cancer",13,2
107,2016,"Colorectal cancer",14,2
153,2016,"Colorectal cancer",15,2
139,2016,"Colorectal cancer",16,2
113,2016,"Colorectal cancer",17,2
136,2016,"Colorectal cancer",18,2
20,2017,"Colorectal cancer",4,1
16,2017,"Colorectal cancer",5,1
17,2017,"Colorectal cancer",6,1
12,2017,"Colorectal cancer",7,1
8,2017,"Colorectal cancer",8,1
42,2017,"Colorectal cancer",9,1
40,2017,"Colorectal cancer",10,1
89,2017,"Colorectal cancer",11,1
79,2017,"Colorectal cancer",12,1
126,2017,"Colorectal cancer",13,1
142,2017,"Colorectal cancer",14,1
198,2017,"Colorectal cancer",15,1
151,2017,"Colorectal cancer",16,1
114,2017,"Colorectal cancer",17,1
113,2017,"Colorectal cancer",18,1
3,2017,"Colorectal cancer",3,2
17,2017,"Colorectal cancer",4,2
24,2017,"Colorectal cancer",6,2
34,2017,"Colorectal cancer",7,2
26,2017,"Colorectal cancer",8,2
19,2017,"Colorectal cancer",9,2
18,2017,"Colorectal cancer",10,2
67,2017,"Colorectal cancer",11,2
70,2017,"Colorectal cancer",12,2
106,2017,"Colorectal cancer",13,2
95,2017,"Colorectal cancer",14,2
145,2017,"Colorectal cancer",15,2
107,2017,"Colorectal cancer",16,2
108,2017,"Colorectal cancer",17,2
147,2017,"Colorectal cancer",18,2
12,2018,"Colorectal cancer",1,1
12,2018,"Colorectal cancer",3,1
24,2018,"Colorectal cancer",4,1
4,2018,"Colorectal cancer",5,1
17,2018,"Colorectal cancer",6,1
10,2018,"Colorectal cancer",7,1
27,2018,"Colorectal cancer",8,1
26,2018,"Colorectal cancer",9,1
35,2018,"Colorectal cancer",10,1
66,2018,"Colorectal cancer",11,1
99,2018,"Colorectal cancer",12,1
140,2018,"Colorectal cancer",13,1
180,2018,"Colorectal cancer",14,1
203,2018,"Colorectal cancer",15,1
165,2018,"Colorectal cancer",16,1
119,2018,"Colorectal cancer",17,1
87,2018,"Colorectal cancer",18,1
9,2018,"Colorectal cancer",1,2
13,2018,"Colorectal cancer",2,2
4,2018,"Colorectal cancer",3,2
26,2018,"Colorectal cancer",4,2
16,2018,"Colorectal cancer",5,2
13,2018,"Colorectal cancer",7,2
53,2018,"Colorectal cancer",8,2
28,2018,"Colorectal cancer",9,2
42,2018,"Colorectal cancer",10,2
46,2018,"Colorectal cancer",11,2
72,2018,"Colorectal cancer",12,2
90,2018,"Colorectal cancer",13,2
139,2018,"Colorectal cancer",14,2
135,2018,"Colorectal cancer",15,2
137,2018,"Colorectal cancer",16,2
145,2018,"Colorectal cancer",17,2
170,2018,"Colorectal cancer",18,2
6,2019,"Colorectal cancer",1,1
10,2019,"Colorectal cancer",4,1
20,2019,"Colorectal cancer",6,1
35,2019,"Colorectal cancer",8,1
28,2019,"Colorectal cancer",9,1
40,2019,"Colorectal cancer",10,1
90,2019,"Colorectal cancer",11,1
108,2019,"Colorectal cancer",12,1
162,2019,"Colorectal cancer",13,1
159,2019,"Colorectal cancer",14,1
198,2019,"Colorectal cancer",15,1
170,2019,"Colorectal cancer",16,1
128,2019,"Colorectal cancer",17,1
131,2019,"Colorectal cancer",18,1
17,2019,"Colorectal cancer",3,2
22,2019,"Colorectal cancer",6,2
23,2019,"Colorectal cancer",7,2
36,2019,"Colorectal cancer",8,2
37,2019,"Colorectal cancer",9,2
44,2019,"Colorectal cancer",10,2
57,2019,"Colorectal cancer",11,2
40,2019,"Colorectal cancer",12,2
89,2019,"Colorectal cancer",13,2
104,2019,"Colorectal cancer",14,2
132,2019,"Colorectal cancer",15,2
108,2019,"Colorectal cancer",16,2
142,2019,"Colorectal cancer",17,2
137,2019,"Colorectal cancer",18,2
21,2020,"Colorectal cancer",3,1
20,2020,"Colorectal cancer",5,1
12,2020,"Colorectal cancer",6,1
17,2020,"Colorectal cancer",7,1
24,2020,"Colorectal cancer",8,1
37,2020,"Colorectal cancer",9,1
58,2020,"Colorectal cancer",10,1
72,2020,"Colorectal cancer",11,1
112,2020,"Colorectal cancer",12,1
119,2020,"Colorectal cancer",13,1
130,2020,"Colorectal cancer",14,1
181,2020,"Colorectal cancer",15,1
142,2020,"Colorectal cancer",16,1
131,2020,"Colorectal cancer",17,1
99,2020,"Colorectal cancer",18,1
16,2020,"Colorectal cancer",3,2
1,2020,"Colorectal cancer",5,2
13,2020,"Colorectal cancer",6,2
25,2020,"Colorectal cancer",7,2
25,2020,"Colorectal cancer",8,2
27,2020,"Colorectal cancer",9,2
21,2020,"Colorectal cancer",10,2
65,2020,"Colorectal cancer",11,2
42,2020,"Colorectal cancer",12,2
86,2020,"Colorectal cancer",13,2
100,2020,"Colorectal cancer",14,2
106,2020,"Colorectal cancer",15,2
99,2020,"Colorectal cancer",16,2
126,2020,"Colorectal cancer",17,2
166,2020,"Colorectal cancer",18,2
9,2021,"Colorectal cancer",1,1
8,2021,"Colorectal cancer",4,1
6,2021,"Colorectal cancer",6,1
36,2021,"Colorectal cancer",7,1
47,2021,"Colorectal cancer",8,1
14,2021,"Colorectal cancer",9,1
58,2021,"Colorectal cancer",10,1
101,2021,"Colorectal cancer",11,1
91,2021,"Colorectal cancer",12,1
114,2021,"Colorectal cancer",13,1
110,2021,"Colorectal cancer",14,1
170,2021,"Colorectal cancer",15,1
140,2021,"Colorectal cancer",16,1
107,2021,"Colorectal cancer",17,1
127,2021,"Colorectal cancer",18,1
12,2021,"Colorectal cancer",3,2
3,2021,"Colorectal cancer",4,2
16,2021,"Colorectal cancer",5,2
25,2021,"Colorectal cancer",7,2
46,2021,"Colorectal cancer",8,2
43,2021,"Colorectal cancer",9,2
46,2021,"Colorectal cancer",10,2
37,2021,"Colorectal cancer",11,2
71,2021,"Colorectal cancer",12,2
100,2021,"Colorectal cancer",13,2
96,2021,"Colorectal cancer",14,2
101,2021,"Colorectal cancer",15,2
102,2021,"Colorectal cancer",16,2
104,2021,"Colorectal cancer",17,2
165,2021,"Colorectal cancer",18,2
5,2022,"Colorectal cancer",1,1
1,2022,"Colorectal cancer",2,1
3,2022,"Colorectal cancer",3,1
11,2022,"Colorectal cancer",4,1
14,2022,"Colorectal cancer",5,1
15,2022,"Colorectal cancer",6,1
19,2022,"Colorectal cancer",7,1
25,2022,"Colorectal cancer",8,1
20,2022,"Colorectal cancer",9,1
37,2022,"Colorectal cancer",10,1
96,2022,"Colorectal cancer",11,1
96,2022,"Colorectal cancer",12,1
135,2022,"Colorectal cancer",13,1
140,2022,"Colorectal cancer",14,1
152,2022,"Colorectal cancer",15,1
139,2022,"Colorectal cancer",16,1
93,2022,"Colorectal cancer",17,1
117,2022,"Colorectal cancer",18,1
7,2022,"Colorectal cancer",3,2
7,2022,"Colorectal cancer",4,2
24,2022,"Colorectal cancer",5,2
39,2022,"Colorectal cancer",8,2
42,2022,"Colorectal cancer",9,2
43,2022,"Colorectal cancer",10,2
62,2022,"Colorectal cancer",11,2
74,2022,"Colorectal cancer",12,2
101,2022,"Colorectal cancer",13,2
92,2022,"Colorectal cancer",14,2
117,2022,"Colorectal cancer",15,2
101,2022,"Colorectal cancer",16,2
129,2022,"Colorectal cancer",17,2
200,2022,"Colorectal cancer",18,2
9,2023,"Colorectal cancer",2,1
12,2023,"Colorectal cancer",4,1
8,2023,"Colorectal cancer",6,1
32,2023,"Colorectal cancer",7,1
24,2023,"Colorectal cancer",8,1
35,2023,"Colorectal cancer",9,1
38,2023,"Colorectal cancer",10,1
87,2023,"Colorectal cancer",11,1
85,2023,"Colorectal cancer",12,1
158,2023,"Colorectal cancer",13,1
147,2023,"Colorectal cancer",14,1
170,2023,"Colorectal cancer",15,1
123,2023,"Colorectal cancer",16,1
154,2023,"Colorectal cancer",17,1
121,2023,"Colorectal cancer",18,1
14,2023,"Colorectal cancer",1,2
18,2023,"Colorectal cancer",3,2
14,2023,"Colorectal cancer",5,2
5,2023,"Colorectal cancer",6,2
14,2023,"Colorectal cancer",7,2
42,2023,"Colorectal cancer",8,2
53,2023,"Colorectal cancer",9,2
33,2023,"Colorectal cancer",10,2
54,2023,"Colorectal cancer",11,2
75,2023,"Colorectal cancer",12,2
78,2023,"Colorectal cancer",13,2
106,2023,"Colorectal cancer",14,2
135,2023,"Colorectal cancer",15,2
139,2023,"Colorectal cancer",16,2
125,2023,"Colorectal cancer",17,2
178,2023,"Colorectal cancer",18,2
11,2005,"Pancreatic cancer",2,1
1,2005,"Pancreatic cancer",10,1
4,2005,"Pancreatic cancer",12,1
11,2005,"Pancreatic cancer",13,1
13,2005,"Pancreatic cancer",15,1
13,2005,"Pancreatic cancer",16,1
24,2005,"Pancreatic cancer",17,1
9,2005,"Pancreatic cancer",18,1
13,2005,"Pancreatic cancer",1,2
7,2005,"Pancreatic cancer",5,2
7,2005,"Pancreatic cancer",6,2
9,2005,"Pancreatic cancer",7,2
2,2005,"Pancreatic cancer",8,2
2,2005,"Pancreatic cancer",10,2
25,2005,"Pancreatic cancer",12,2
19,2005,"Pancreatic cancer",13,2
23,2005,"Pancreatic cancer",14,2
2,2005,"Pancreatic cancer",16,2
40,2005,"Pancreatic cancer",17,2
37,2005,"Pancreatic cancer",18,2
18,2006,"Pancreatic cancer",2,1
15,2006,"Pancreatic cancer",3,1
15,2006,"Pancreatic cancer",8,1
20,2006,"Pancreatic cancer",10,1
4,2006,"Pancreatic cancer",11,1
26,2006,"Pancreatic cancer",12,1
13,2006,"Pancreatic cancer",13,1
12,2006,"Pancreatic cancer",14,1
45,2006,"Pancreatic cancer",15,1
19,2006,"Pancreatic cancer",16,1
3,2006,"Pancreatic cancer",17,1
22,2006,"Pancreatic cancer",18,1
7,2006,"Pancreatic cancer",1,2
12,2006,"Pancreatic cancer",2,2
1,2006,"Pancreatic cancer",4,2
1,2006,"Pancreatic cancer",5,2
18,2006,"Pancreatic cancer",6,2
19,2006,"Pancreatic cancer",8,2
9,2006,"Pancreatic cancer",9,2
24,2006,"Pancreatic cancer",10,2
3,2006,"Pancreatic cancer",13,2
5,2006,"Pancreatic cancer",14,2
31,2006,"Pancreatic cancer",15,2
24,2006,"Pancreatic cancer",17,2
8,2006,"Pancreatic cancer",18,2
15,2007,"Pancreatic cancer",2,1
11,2007,"Pancreatic cancer",3,1
7,2007,"Pancreatic cancer",7,1
23,2007,"Pancreatic cancer",13,1
44,2007,"Pancreatic cancer",14,1
32,2007,"Pancreatic cancer",15,1
20,2007,"Pancreatic cancer",16,1
40,2007,"Pancreatic cancer",17,1
7,2007,"Pancreatic cancer",18,1
12,2007,"Pancreatic cancer",4,2
19,2007,"Pancreatic cancer",6,2
19,2007,"Pancreatic cancer",7,2
11,2007,"Pancreatic cancer",8,2
18,2007,"Pancreatic cancer",9,2
18,2007,"Pancreatic cancer",11,2
5,2007,"Pancreatic cancer",12,2
23,2007,"Pancreatic cancer",13,2
14,2007,"Pancreatic cancer",14,2
10,2007,"Pancreatic cancer",15,2
16,2007,"Pancreatic cancer",16,2
35,2007,"Pancreatic cancer",17,2
8,2007,"Pancreatic cancer",18,2
19,2008,"Pancreatic cancer",1,1
5,2008,"Pancreatic cancer",2,1
12,2008,"Pancreatic cancer",7,1
17,2008,"Pancreatic cancer",9,1
8,2008,"Pancreatic cancer",10,1
25,2008,"Pancreatic cancer",11,1
18,2008,"Pancreatic cancer",12,1
6,2008,"Pancreatic cancer",13,1
31,2008,"Pancreatic cancer",14,1
40,2008,"Pancreatic cancer",15,1
2,2008,"Pancreatic cancer",16,1
24,2008,"Pancreatic cancer",17,1
3,2008,"Pancreatic cancer",18,1
5,2008,"Pancreatic cancer",1,2
17,2008,"Pancreatic cancer",4,2
5,2008,"Pancreatic cancer",8,2
18,2008,"Pancreatic cancer",9,2
2,2008,"Pancreatic cancer",10,2
22,2008,"Pancreatic cancer",11,2
16,2008,"Pancreatic cancer",12,2
5,2008,"Pancreatic cancer",13,2
35,2008,"Pancreatic cancer",14,2
23,2008,"Pancreatic cancer",16,2
38,2008,"Pancreatic cancer",17,2
44,2008,"Pancreatic cancer",18,2
5,2009,"Pancreatic cancer",2,1
17,2009,"Pancreatic cancer",3,1
4,2009,"Pancreatic cancer",4,1
3,2009,"Pancreatic cancer",6,1
1,2009,"Pancreatic cancer",7,1
22,2009,"Pancreatic cancer",10,1
27,2009,"Pancreatic cancer",11,1
2,2009,"Pancreatic cancer",12,1
36,2009,"Pancreatic cancer",13,1
18,2009,"Pancreatic cancer",14,1
35,2009,"Pancreatic cancer",15,1
10,2009,"Pancreatic cancer",16,1
14,2009,"Pancreatic cancer",17,1
11,2009,"Pancreatic cancer",18,1
7,2009,"Pancreatic cancer",1,2
10,2009,"Pancreatic cancer",3,2
20,2009,"Pancreatic cancer",4,2
2,2009,"Pancreatic cancer",7,2
10,2009,"Pancreatic cancer",8,2
21,2009,"Pancreatic cancer",9,2
3,2009,"Pancreatic cancer",11,2
27,2009,"Pancreatic cancer",12,2
24,2009,"Pancreatic cancer",13,2
15,2009,"Pancreatic cancer",14,2
33,2009,"Pancreatic cancer",15,2
27,2009,"Pancreatic cancer",16,2
26,2009,"Pancreatic cancer",17,2
31,2009,"Pancreatic cancer",18,2
1,2010,"Pancreatic cancer",1,1
17,2010,"Pancreatic cancer",2,1
8,2010,"Pancreatic cancer",3,1
5,2010,"Pancreatic cancer",4,1
10,2010,"Pancreatic cancer",6,1
14,2010,"Pancreatic cancer",7,1
8,2010,"Pancreatic cancer",8,1
19,2010,"Pancreatic cancer",9,1
16,2010,"Pancreatic cancer",11,1
24,2010,"Pancreatic cancer",12,1
41,2010,"Pancreatic cancer",13,1
31,2010,"Pancreatic cancer",14,1
37,2010,"Pancreatic cancer",15,1
29,2010,"Pancreatic cancer",16,1
34,2010,"Pancreatic cancer",17,1
29,2010,"Pancreatic cancer",18,1
10,2010,"Pancreatic cancer",3,2
6,2010,"Pancreatic cancer",6,2
7,2010,"Pancreatic cancer",8,2
17,2010,"Pancreatic cancer",10,2
5,2010,"Pancreatic cancer",12,2
23,2010,"Pancreatic cancer",13,2
11,2010,"Pancreatic cancer",14,2
23,2010,"Pancreatic cancer",15,2
32,2010,"Pancreatic cancer",16,2
38,2010,"Pancreatic cancer",17,2
6,2010,"Pancreatic cancer",18,2
8,2011,"Pancreatic cancer",4,1
5,2011,"Pancreatic cancer",8,1
21,2011,"Pancreatic cancer",10,1
16,2011,"Pancreatic cancer",11,1
13,2011,"Pancreatic cancer",12,1
7,2011,"Pancreatic cancer",13,1
31,2011,"Pancreatic cancer",14,1
25,2011,"Pancreatic cancer",15,1
15,2011,"Pancreatic cancer",16,1
30,2011,"Pancreatic cancer",17,1
2,2011,"Pancreatic cancer",18,1
17,2011,"Pancreatic cancer",4,2
17,2011,"Pancreatic cancer",6,2
