"Deaths_Count","Year","Cancer_Type","AgeGroup","Sex"
56,2009,"Colorectal cancer",14,1
71,2009,"Colorectal cancer",15,1
70,2009,"Colorectal cancer",16,1
70,2009,"Colorectal cancer",17,1
38,2009,"Colorectal cancer",18,1
15,2009,"Colorectal cancer",1,2
9,2009,"Colorectal cancer",2,2
10,2009,"Colorectal cancer",8,2
7,2009,"Colorectal cancer",9,2
26,2009,"Colorectal cancer",10,2
8,2009,"Colorectal cancer",11,2
5,2009,"Colorectal cancer",12,2
6,2009,"Colorectal cancer",13,2
42,2009,"Colorectal cancer",14,2
50,2009,"Colorectal cancer",15,2
31,2009,"Colorectal cancer",16,2
55,2009,"Colorectal cancer",17,2
62,2009,"Colorectal cancer",18,2
9,2010,"Colorectal cancer",1,1
4,2010,"Colorectal cancer",2,1
10,2010,"Colorectal cancer",5,1
2,2010,"Colorectal cancer",6,1
12,2010,"Colorectal cancer",7,1
3,2010,"Colorectal cancer",9,1
14,2010,"Colorectal cancer",10,1
18,2010,"Colorectal cancer",11,1
13,2010,"Colorectal cancer",12,1
50,2010,"Colorectal cancer",13,1
63,2010,"Colorectal cancer",14,1
66,2010,"Colorectal cancer",15,1
50,2010,"Colorectal cancer",16,1
54,2010,"Colorectal cancer",17,1
49,2010,"Colorectal cancer",18,1
15,2010,"Colorectal cancer",1,2
7,2010,"Colorectal cancer",2,2
12,2010,"Colorectal cancer",3,2
6,2010,"Colorectal cancer",4,2
15,2010,"Colorectal cancer",5,2
13,2010,"Colorectal cancer",7,2
11,2010,"Colorectal cancer",8,2
9,2010,"Colorectal cancer",9,2
20,2010,"Colorectal cancer",10,2
14,2010,"Colorectal cancer",12,2
39,2010,"Colorectal cancer",13,2
20,2010,"Colorectal cancer",14,2
35,2010,"Colorectal cancer",15,2
33,2010,"Colorectal cancer",16,2
68,2010,"Colorectal cancer",17,2
76,2010,"Colorectal cancer",18,2
7,2011,"Colorectal cancer",1,1
14,2011,"Colorectal cancer",2,1
10,2011,"Colorectal cancer",3,1
4,2011,"Colorectal cancer",4,1
14,2011,"Colorectal cancer",7,1
2,2011,"Colorectal cancer",8,1
5,2011,"Colorectal cancer",9,1
6,2011,"Colorectal cancer",10,1
21,2011,"Colorectal cancer",11,1
17,2011,"Colorectal cancer",12,1
43,2011,"Colorectal cancer",13,1
40,2011,"Colorectal cancer",14,1
45,2011,"Colorectal cancer",15,1
46,2011,"Colorectal cancer",16,1
62,2011,"Colorectal cancer",17,1
64,2011,"Colorectal cancer",18,1
7,2011,"Colorectal cancer",1,2
6,2011,"Colorectal cancer",2,2
1,2011,"Colorectal cancer",3,2
7,2011,"Colorectal cancer",10,2
21,2011,"Colorectal cancer",12,2
35,2011,"Colorectal cancer",13,2
40,2011,"Colorectal cancer",14,2
59,2011,"Colorectal cancer",15,2
39,2011,"Colorectal cancer",16,2
39,2011,"Colorectal cancer",17,2
79,2011,"Colorectal cancer",18,2
5,2012,"Colorectal cancer",3,1
17,2012,"Colorectal cancer",6,1
10,2012,"Colorectal cancer",10,1
27,2012,"Colorectal cancer",11,1
32,2012,"Colorectal cancer",12,1
63,2012,"Colorectal cancer",13,1
41,2012,"Colorectal cancer",14,1
46,2012,"Colorectal cancer",15,1
73,2012,"Colorectal cancer",16,1
60,2012,"Colorectal cancer",17,1
66,2012,"Colorectal cancer",18,1
3,2012,"Colorectal cancer",2,2
14,2012,"Colorectal cancer",5,2
2,2012,"Colorectal cancer",7,2
8,2012,"Colorectal cancer",8,2
17,2012,"Colorectal cancer",10,2
18,2012,"Colorectal cancer",11,2
30,2012,"Colorectal cancer",12,2
9,2012,"Colorectal cancer",13,2
25,2012,"Colorectal cancer",14,2
35,2012,"Colorectal cancer",15,2
41,2012,"Colorectal cancer",16,2
40,2012,"Colorectal cancer",17,2
85,2012,"Colorectal cancer",18,2
17,2013,"Colorectal cancer",1,1
5,2013,"Colorectal cancer",3,1
17,2013,"Colorectal cancer",4,1
20,2013,"Colorectal cancer",6,1
4,2013,"Colorectal cancer",9,1
18,2013,"Colorectal cancer",10,1
35,2013,"Colorectal cancer",11,1
14,2013,"Colorectal cancer",12,1
54,2013,"Colorectal cancer",13,1
50,2013,"Colorectal cancer",14,1
81,2013,"Colorectal cancer",15,1
81,2013,"Colorectal cancer",16,1
66,2013,"Colorectal cancer",17,1
61,2013,"Colorectal cancer",18,1
1,2013,"Colorectal cancer",1,2
13,2013,"Colorectal cancer",2,2
15,2013,"Colorectal cancer",3,2
19,2013,"Colorectal cancer",6,2
16,2013,"Colorectal cancer",7,2
2,2013,"Colorectal cancer",8,2
17,2013,"Colorectal cancer",9,2
1,2013,"Colorectal cancer",10,2
18,2013,"Colorectal cancer",11,2
25,2013,"Colorectal cancer",12,2
28,2013,"Colorectal cancer",13,2
21,2013,"Colorectal cancer",14,2
33,2013,"Colorectal cancer",15,2
27,2013,"Colorectal cancer",16,2
49,2013,"Colorectal cancer",17,2
98,2013,"Colorectal cancer",18,2
1,2014,"Colorectal cancer",2,1
20,2014,"Colorectal cancer",11,1
11,2014,"Colorectal cancer",12,1
32,2014,"Colorectal cancer",13,1
62,2014,"Colorectal cancer",14,1
56,2014,"Colorectal cancer",15,1
72,2014,"Colorectal cancer",16,1
72,2014,"Colorectal cancer",17,1
76,2014,"Colorectal cancer",18,1
3,2014,"Colorectal cancer",6,2
6,2014,"Colorectal cancer",8,2
3,2014,"Colorectal cancer",9,2
6,2014,"Colorectal cancer",11,2
13,2014,"Colorectal cancer",12,2
29,2014,"Colorectal cancer",13,2
33,2014,"Colorectal cancer",14,2
39,2014,"Colorectal cancer",15,2
45,2014,"Colorectal cancer",16,2
55,2014,"Colorectal cancer",17,2
88,2014,"Colorectal cancer",18,2
17,2015,"Colorectal cancer",1,1
12,2015,"Colorectal cancer",2,1
16,2015,"Colorectal cancer",4,1
3,2015,"Colorectal cancer",5,1
3,2015,"Colorectal cancer",6,1
4,2015,"Colorectal cancer",7,1
17,2015,"Colorectal cancer",9,1
5,2015,"Colorectal cancer",10,1
23,2015,"Colorectal cancer",11,1
39,2015,"Colorectal cancer",12,1
20,2015,"Colorectal cancer",13,1
67,2015,"Colorectal cancer",14,1
40,2015,"Colorectal cancer",15,1
48,2015,"Colorectal cancer",16,1
71,2015,"Colorectal cancer",17,1
81,2015,"Colorectal cancer",18,1
11,2015,"Colorectal cancer",1,2
6,2015,"Colorectal cancer",3,2
6,2015,"Colorectal cancer",7,2
3,2015,"Colorectal cancer",8,2
2,2015,"Colorectal cancer",9,2
15,2015,"Colorectal cancer",10,2
16,2015,"Colorectal cancer",11,2
11,2015,"Colorectal cancer",13,2
28,2015,"Colorectal cancer",14,2
34,2015,"Colorectal cancer",15,2
60,2015,"Colorectal cancer",16,2
33,2015,"Colorectal cancer",17,2
103,2015,"Colorectal cancer",18,2
3,2016,"Colorectal cancer",3,1
17,2016,"Colorectal cancer",5,1
10,2016,"Colorectal cancer",8,1
7,2016,"Colorectal cancer",9,1
27,2016,"Colorectal cancer",10,1
15,2016,"Colorectal cancer",11,1
21,2016,"Colorectal cancer",12,1
17,2016,"Colorectal cancer",13,1
51,2016,"Colorectal cancer",14,1
58,2016,"Colorectal cancer",15,1
54,2016,"Colorectal cancer",16,1
68,2016,"Colorectal cancer",17,1
98,2016,"Colorectal cancer",18,1
2,2016,"Colorectal cancer",5,2
14,2016,"Colorectal cancer",7,2
16,2016,"Colorectal cancer",8,2
7,2016,"Colorectal cancer",9,2
11,2016,"Colorectal cancer",10,2
26,2016,"Colorectal cancer",11,2
15,2016,"Colorectal cancer",12,2
26,2016,"Colorectal cancer",13,2
24,2016,"Colorectal cancer",14,2
44,2016,"Colorectal cancer",15,2
64,2016,"Colorectal cancer",16,2
61,2016,"Colorectal cancer",17,2
115,2016,"Colorectal cancer",18,2
8,2017,"Colorectal cancer",2,1
2,2017,"Colorectal cancer",3,1
7,2017,"Colorectal cancer",4,1
13,2017,"Colorectal cancer",5,1
13,2017,"Colorectal cancer",7,1
12,2017,"Colorectal cancer",8,1
22,2017,"Colorectal cancer",9,1
14,2017,"Colorectal cancer",10,1
3,2017,"Colorectal cancer",11,1
29,2017,"Colorectal cancer",12,1
18,2017,"Colorectal cancer",13,1
56,2017,"Colorectal cancer",14,1
64,2017,"Colorectal cancer",15,1
52,2017,"Colorectal cancer",16,1
80,2017,"Colorectal cancer",17,1
73,2017,"Colorectal cancer",18,1
13,2017,"Colorectal cancer",1,2
16,2017,"Colorectal cancer",5,2
7,2017,"Colorectal cancer",6,2
14,2017,"Colorectal cancer",10,2
32,2017,"Colorectal cancer",11,2
11,2017,"Colorectal cancer",12,2
23,2017,"Colorectal cancer",13,2
35,2017,"Colorectal cancer",14,2
28,2017,"Colorectal cancer",15,2
48,2017,"Colorectal cancer",16,2
38,2017,"Colorectal cancer",17,2
114,2017,"Colorectal cancer",18,2
1,2018,"Colorectal cancer",1,1
11,2018,"Colorectal cancer",8,1
7,2018,"Colorectal cancer",9,1
3,2018,"Colorectal cancer",10,1
9,2018,"Colorectal cancer",11,1
15,2018,"Colorectal cancer",12,1
30,2018,"Colorectal cancer",13,1
52,2018,"Colorectal cancer",14,1
65,2018,"Colorectal cancer",15,1
57,2018,"Colorectal cancer",16,1
74,2018,"Colorectal cancer",17,1
76,2018,"Colorectal cancer",18,1
4,2018,"Colorectal cancer",1,2
7,2018,"Colorectal cancer",3,2
12,2018,"Colorectal cancer",4,2
1,2018,"Colorectal cancer",7,2
13,2018,"Colorectal cancer",9,2
19,2018,"Colorectal cancer",10,2
32,2018,"Colorectal cancer",11,2
11,2018,"Colorectal cancer",12,2
35,2018,"Colorectal cancer",13,2
41,2018,"Colorectal cancer",14,2
18,2018,"Colorectal cancer",15,2
41,2018,"Colorectal cancer",16,2
44,2018,"Colorectal cancer",17,2
87,2018,"Colorectal cancer",18,2
10,2019,"Colorectal cancer",4,1
2,2019,"Colorectal cancer",5,1
17,2019,"Colorectal cancer",7,1
5,2019,"Colorectal cancer",8,1
8,2019,"Colorectal cancer",10,1
9,2019,"Colorectal cancer",11,1
27,2019,"Colorectal cancer",12,1
52,2019,"Colorectal cancer",13,1
54,2019,"Colorectal cancer",14,1
49,2019,"Colorectal cancer",15,1
67,2019,"Colorectal cancer",16,1
41,2019,"Colorectal cancer",17,1
104,2019,"Colorectal cancer",18,1
17,2019,"Colorectal cancer",3,2
14,2019,"Colorectal cancer",5,2
5,2019,"Colorectal cancer",8,2
4,2019,"Colorectal cancer",11,2
20,2019,"Colorectal cancer",12,2
25,2019,"Colorectal cancer",13,2
15,2019,"Colorectal cancer",14,2
40,2019,"Colorectal cancer",15,2
29,2019,"Colorectal cancer",16,2
32,2019,"Colorectal cancer",17,2
136,2019,"Colorectal cancer",18,2
2,2020,"Colorectal cancer",1,1
2,2020,"Colorectal cancer",2,1
1,2020,"Colorectal cancer",3,1
6,2020,"Colorectal cancer",8,1
5,2020,"Colorectal cancer",9,1
10,2020,"Colorectal cancer",10,1
9,2020,"Colorectal cancer",11,1
25,2020,"Colorectal cancer",12,1
15,2020,"Colorectal cancer",13,1
57,2020,"Colorectal cancer",14,1
48,2020,"Colorectal cancer",15,1
74,2020,"Colorectal cancer",16,1
78,2020,"Colorectal cancer",17,1
80,2020,"Colorectal cancer",18,1
6,2020,"Colorectal cancer",1,2
14,2020,"Colorectal cancer",6,2
17,2020,"Colorectal cancer",9,2
25,2020,"Colorectal cancer",10,2
13,2020,"Colorectal cancer",12,2
28,2020,"Colorectal cancer",13,2
39,2020,"Colorectal cancer",14,2
48,2020,"Colorectal cancer",15,2
28,2020,"Colorectal cancer",16,2
59,2020,"Colorectal cancer",17,2
119,2020,"Colorectal cancer",18,2
8,2021,"Colorectal cancer",2,1
13,2021,"Colorectal cancer",4,1
18,2021,"Colorectal cancer",5,1
13,2021,"Colorectal cancer",6,1
5,2021,"Colorectal cancer",7,1
15,2021,"Colorectal cancer",8,1
6,2021,"Colorectal cancer",9,1
29,2021,"Colorectal cancer",10,1
34,2021,"Colorectal cancer",11,1
24,2021,"Colorectal cancer",12,1
17,2021,"Colorectal cancer",13,1
50,2021,"Colorectal cancer",14,1
46,2021,"Colorectal cancer",15,1
68,2021,"Colorectal cancer",16,1
78,2021,"Colorectal cancer",17,1
83,2021,"Colorectal cancer",18,1
17,2021,"Colorectal cancer",2,2
4,2021,"Colorectal cancer",5,2
1,2021,"Colorectal cancer",9,2
11,2021,"Colorectal cancer",10,2
11,2021,"Colorectal cancer",11,2
14,2021,"Colorectal cancer",12,2
36,2021,"Colorectal cancer",13,2
17,2021,"Colorectal cancer",14,2
37,2021,"Colorectal cancer",15,2
58,2021,"Colorectal cancer",16,2
34,2021,"Colorectal cancer",17,2
124,2021,"Colorectal cancer",18,2
12,2022,"Colorectal cancer",1,1
4,2022,"Colorectal cancer",5,1
10,2022,"Colorectal cancer",6,1
11,2022,"Colorectal cancer",7,1
18,2022,"Colorectal cancer",9,1
1,2022,"Colorectal cancer",10,1
8,2022,"Colorectal cancer",11,1
29,2022,"Colorectal cancer",12,1
29,2022,"Colorectal cancer",13,1
42,2022,"Colorectal cancer",14,1
63,2022,"Colorectal cancer",15,1
54,2022,"Colorectal cancer",16,1
82,2022,"Colorectal cancer",17,1
100,2022,"Colorectal cancer",18,1
13,2022,"Colorectal cancer",1,2
2,2022,"Colorectal cancer",2,2
14,2022,"Colorectal cancer",3,2
15,2022,"Colorectal cancer",4,2
17,2022,"Colorectal cancer",5,2
14,2022,"Colorectal cancer",6,2
16,2022,"Colorectal cancer",9,2
23,2022,"Colorectal cancer",11,2
28,2022,"Colorectal cancer",12,2
26,2022,"Colorectal cancer",13,2
21,2022,"Colorectal cancer",14,2
45,2022,"Colorectal cancer",15,2
41,2022,"Colorectal cancer",16,2
66,2022,"Colorectal cancer",17,2
108,2022,"Colorectal cancer",18,2
9,2023,"Colorectal cancer",2,1
13,2023,"Colorectal cancer",5,1
10,2023,"Colorectal cancer",8,1
28,2023,"Colorectal cancer",9,1
29,2023,"Colorectal cancer",10,1
28,2023,"Colorectal cancer",11,1
42,2023,"Colorectal cancer",12,1
51,2023,"Colorectal cancer",13,1
41,2023,"Colorectal cancer",14,1
42,2023,"Colorectal cancer",15,1
68,2023,"Colorectal cancer",16,1
58,2023,"Colorectal cancer",17,1
91,2023,"Colorectal cancer",18,1
11,2023,"Colorectal cancer",3,2
1,2023,"Colorectal cancer",4,2
8,2023,"Colorectal cancer",6,2
13,2023,"Colorectal cancer",7,2
19,2023,"Colorectal cancer",9,2
9,2023,"Colorectal cancer",10,2
11,2023,"Colorectal cancer",11,2
33,2023,"Colorectal cancer",12,2
29,2023,"Colorectal cancer",13,2
16,2023,"Colorectal cancer",14,2
25,2023,"Colorectal cancer",15,2
53,2023,"Colorectal cancer",16,2
69,2023,"Colorectal cancer",17,2
140,2023,"Colorectal cancer",18,2
4,2005,"Pancreatic cancer",1,1
8,2005,"Pancreatic cancer",2,1
1,2005,"Pancreatic cancer",3,1
10,2005,"Pancreatic cancer",6,1
6,2005,"Pancreatic cancer",8,1
17,2005,"Pancreatic cancer",9,1
15,2005,"Pancreatic cancer",10,1
17,2005,"Pancreatic cancer",12,1
7,2005,"Pancreatic cancer",13,1
25,2005,"Pancreatic cancer",15,1
12,2005,"Pancreatic cancer",16,1
6,2005,"Pancreatic cancer",17,1
8,2005,"Pancreatic cancer",1,2
17,2005,"Pancreatic cancer",2,2
14,2005,"Pancreatic cancer",3,2
9,2005,"Pancreatic cancer",7,2
11,2005,"Pancreatic cancer",10,2
12,2005,"Pancreatic cancer",11,2
22,2005,"Pancreatic cancer",12,2
5,2005,"Pancreatic cancer",13,2
5,2005,"Pancreatic cancer",14,2
10,2005,"Pancreatic cancer",15,2
8,2005,"Pancreatic cancer",16,2
9,2005,"Pancreatic cancer",17,2
33,2005,"Pancreatic cancer",18,2
1,2006,"Pancreatic cancer",3,1
6,2006,"Pancreatic cancer",5,1
16,2006,"Pancreatic cancer",10,1
17,2006,"Pancreatic cancer",12,1
7,2006,"Pancreatic cancer",13,1
17,2006,"Pancreatic cancer",14,1
12,2006,"Pancreatic cancer",15,1
23,2006,"Pancreatic cancer",16,1
19,2006,"Pancreatic cancer",17,1
15,2006,"Pancreatic cancer",1,2
15,2006,"Pancreatic cancer",2,2
2,2006,"Pancreatic cancer",7,2
18,2006,"Pancreatic cancer",11,2
9,2006,"Pancreatic cancer",12,2
7,2006,"Pancreatic cancer",13,2
23,2006,"Pancreatic cancer",14,2
24,2006,"Pancreatic cancer",15,2
34,2006,"Pancreatic cancer",16,2
37,2006,"Pancreatic cancer",17,2
28,2006,"Pancreatic cancer",18,2
11,2007,"Pancreatic cancer",2,1
11,2007,"Pancreatic cancer",5,1
9,2007,"Pancreatic cancer",6,1
1,2007,"Pancreatic cancer",8,1
13,2007,"Pancreatic cancer",10,1
1,2007,"Pancreatic cancer",12,1
16,2007,"Pancreatic cancer",13,1
29,2007,"Pancreatic cancer",14,1
46,2007,"Pancreatic cancer",15,1
14,2007,"Pancreatic cancer",16,1
22,2007,"Pancreatic cancer",17,1
20,2007,"Pancreatic cancer",18,1
15,2007,"Pancreatic cancer",2,2
8,2007,"Pancreatic cancer",4,2
5,2007,"Pancreatic cancer",6,2
18,2007,"Pancreatic cancer",8,2
4,2007,"Pancreatic cancer",9,2
22,2007,"Pancreatic cancer",12,2
23,2007,"Pancreatic cancer",13,2
13,2007,"Pancreatic cancer",14,2
6,2007,"Pancreatic cancer",15,2
3,2007,"Pancreatic cancer",16,2
7,2007,"Pancreatic cancer",17,2
15,2007,"Pancreatic cancer",18,2
11,2008,"Pancreatic cancer",5,1
18,2008,"Pancreatic cancer",8,1
13,2008,"Pancreatic cancer",9,1
4,2008,"Pancreatic cancer",10,1
2,2008,"Pancreatic cancer",11,1
21,2008,"Pancreatic cancer",12,1
22,2008,"Pancreatic cancer",13,1
38,2008,"Pancreatic cancer",14,1
16,2008,"Pancreatic cancer",15,1
7,2008,"Pancreatic cancer",16,1
19,2008,"Pancreatic cancer",17,1
31,2008,"Pancreatic cancer",18,1
13,2008,"Pancreatic cancer",1,2
2,2008,"Pancreatic cancer",2,2
17,2008,"Pancreatic cancer",3,2
11,2008,"Pancreatic cancer",6,2
5,2008,"Pancreatic cancer",7,2
14,2008,"Pancreatic cancer",8,2
14,2008,"Pancreatic cancer",9,2
11,2008,"Pancreatic cancer",11,2
19,2008,"Pancreatic cancer",13,2
36,2008,"Pancreatic cancer",14,2
9,2008,"Pancreatic cancer",15,2
23,2008,"Pancreatic cancer",16,2
38,2008,"Pancreatic cancer",17,2
21,2008,"Pancreatic cancer",18,2
4,2009,"Pancreatic cancer",3,1
10,2009,"Pancreatic cancer",4,1
9,2009,"Pancreatic cancer",7,1
15,2009,"Pancreatic cancer",8,1
5,2009,"Pancreatic cancer",9,1
7,2009,"Pancreatic cancer",11,1
19,2009,"Pancreatic cancer",12,1
8,2009,"Pancreatic cancer",13,1
3,2009,"Pancreatic cancer",14,1
9,2009,"Pancreatic cancer",15,1
15,2009,"Pancreatic cancer",16,1
15,2009,"Pancreatic cancer",17,1
19,2009,"Pancreatic cancer",18,1
14,2009,"Pancreatic cancer",2,2
2,2009,"Pancreatic cancer",4,2
18,2009,"Pancreatic cancer",12,2
13,2009,"Pancreatic cancer",13,2
22,2009,"Pancreatic cancer",14,2
11,2009,"Pancreatic cancer",15,2
36,2009,"Pancreatic cancer",16,2
11,2009,"Pancreatic cancer",17,2
21,2009,"Pancreatic cancer",18,2
17,2010,"Pancreatic cancer",2,1
17,2010,"Pancreatic cancer",3,1
17,2010,"Pancreatic cancer",5,1
4,2010,"Pancreatic cancer",6,1
12,2010,"Pancreatic cancer",9,1
3,2010,"Pancreatic cancer",10,1
7,2010,"Pancreatic cancer",11,1
29,2010,"Pancreatic cancer",12,1
9,2010,"Pancreatic cancer",13,1
34,2010,"Pancreatic cancer",14,1
37,2010,"Pancreatic cancer",15,1
14,2010,"Pancreatic cancer",16,1
40,2010,"Pancreatic cancer",17,1
22,2010,"Pancreatic cancer",18,1
13,2010,"Pancreatic cancer",2,2
8,2010,"Pancreatic cancer",3,2
3,2010,"Pancreatic cancer",4,2
4,2010,"Pancreatic cancer",5,2
10,2010,"Pancreatic cancer",12,2
3,2010,"Pancreatic cancer",13,2
31,2010,"Pancreatic cancer",14,2
30,2010,"Pancreatic cancer",15,2
36,2010,"Pancreatic cancer",16,2
23,2010,"Pancreatic cancer",17,2
29,2010,"Pancreatic cancer",18,2
2,2011,"Pancreatic cancer",1,1
12,2011,"Pancreatic cancer",5,1
10,2011,"Pancreatic cancer",7,1
18,2011,"Pancreatic cancer",8,1
9,2011,"Pancreatic cancer",9,1
6,2011,"Pancreatic cancer",11,1
8,2011,"Pancreatic cancer",12,1
26,2011,"Pancreatic cancer",13,1
16,2011,"Pancreatic cancer",14,1
24,2011,"Pancreatic cancer",15,1
30,2011,"Pancreatic cancer",16,1
19,2011,"Pancreatic cancer",17,1
33,2011,"Pancreatic cancer",18,1
7,2011,"Pancreatic cancer",3,2
17,2011,"Pancreatic cancer",4,2
9,2011,"Pancreatic cancer",6,2
1,2011,"Pancreatic cancer",11,2
18,2011,"Pancreatic cancer",14,2
1,2011,"Pancreatic cancer",15,2
37,2011,"Pancreatic cancer",16,2
24,2011,"Pancreatic cancer",17,2
33,2011,"Pancreatic cancer",18,2
16,2012,"Pancreatic cancer",2,1
3,2012,"Pancreatic cancer",3,1
11,2012,"Pancreatic cancer",4,1
13,2012,"Pancreatic cancer",5,1
11,2012,"Pancreatic cancer",11,1
1,2012,"Pancreatic cancer",12,1
17,2012,"Pancreatic cancer",13,1
6,2012,"Pancreatic cancer",14,1
9,2012,"Pancreatic cancer",15,1
29,2012,"Pancreatic cancer",16,1
22,2012,"Pancreatic cancer",17,1
13,2012,"Pancreatic cancer",18,1
7,2012,"Pancreatic cancer",2,2
2,2012,"Pancreatic cancer",3,2
15,2012,"Pancreatic cancer",5,2
7,2012,"Pancreatic cancer",6,2
4,2012,"Pancreatic cancer",7,2
12,2012,"Pancreatic cancer",9,2
7,2012,"Pancreatic cancer",10,2
22,2012,"Pancreatic cancer",14,2
6,2012,"Pancreatic cancer",15,2
22,2012,"Pancreatic cancer",16,2
27,2012,"Pancreatic cancer",17,2
44,2012,"Pancreatic cancer",18,2
13,2013,"Pancreatic cancer",2,1
17,2013,"Pancreatic cancer",3,1
14,2013,"Pancreatic cancer",6,1
13,2013,"Pancreatic cancer",8,1
11,2013,"Pancreatic cancer",9,1
18,2013,"Pancreatic cancer",10,1
3,2013,"Pancreatic cancer",11,1
24,2013,"Pancreatic cancer",12,1
29,2013,"Pancreatic cancer",13,1
42,2013,"Pancreatic cancer",14,1
36,2013,"Pancreatic cancer",15,1
23,2013,"Pancreatic cancer",16,1
25,2013,"Pancreatic cancer",17,1
32,2013,"Pancreatic cancer",18,1
10,2013,"Pancreatic cancer",3,2
7,2013,"Pancreatic cancer",6,2
5,2013,"Pancreatic cancer",8,2
8,2013,"Pancreatic cancer",9,2
3,2013,"Pancreatic cancer",11,2
17,2013,"Pancreatic cancer",12,2
14,2013,"Pancreatic cancer",13,2
26,2013,"Pancreatic cancer",14,2
6,2013,"Pancreatic cancer",15,2
13,2013,"Pancreatic cancer",16,2
33,2013,"Pancreatic cancer",17,2
37,2013,"Pancreatic cancer",18,2
2,2014,"Pancreatic cancer",2,1
5,2014,"Pancreatic cancer",3,1
